id;NameAr;nameEn;cityId;neCoordinates;swCoordinates;;
4973;مخطط السروات;as sarawat subdivision;113; '27.02013428;49.64051317';; 
4975;المنطقة الصناعية;industrial area;113; '27.07934103;49.62312295';; 
4976;الشاطئ;ash shati;113; '27.08507054;49.59231718';; 
4977;منطقة العريفي;al urayfi area;113; '27.01270157;49.63428024';; 
4978;مخطط الدخل المحدود;ad dakhal al mahdud subdivision;113; '26.98977182;49.66620754';; 
4979;الاحساء;al ahsa;113; '27.13673245;49.57499945';; 
4980;المنطقة الصناعية الثانية;second industrial area;113; '27.07632569;49.55367707';; 
4981;المنطقة الصناعية الثالثة;third industrial area;113; '27.05613817;49.52907322';; 
4982;ينبع;yanbu;113; '27.07764346;49.59825634';; 
4983;دارين;darin;113; '27.18330789;49.58628395';; 
4984;سدير;sudayr;113; '27.15606999;49.57220786';; 
4985;مكة;makkah;113; '27.15771138;49.56435719';; 
4986;الحجاز;al hijaz;113; '27.16589183;49.57217003';; 
4987;الفردوس;al firdaws;113; '27.12062081;49.54872834';; 
4988;الفيحاء;al faiha;113; '27.12952336;49.55937587';; 
4989;الخليج;al khalij;113; '27.11641331;49.57300451';; 
4990;نجد;najd;113; '27.15188034;49.55797819';; 
4991;الاندلس;al andalus;113; '27.14688654;49.54765841';; 
4992;الفاروق;al faruq;113; '27.14023668;49.53956271';; 
4993;القدس;al quds;113; '27.13410172;49.55013194';; 
4994;جلمودة;jalmudah;113; '27.18860983;49.55840963';; 
